"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2960,665742,"Soto, Juan",2960,100,0.289,0.282,0.298,0.57,0.421,0.463,0.317,166,575,93.5,10.1,2242,88.9,89.13,237,1101,1859,0.19999999999998863,6.46,116,146,122,151,296,329,300,"-72.482","72.482","72.9","7.2",710,461,90,31,4,41,118,16.6,127,17.9,2.40744,0.51921,0.3688,-0.2046,"94.3",159,56.83297180043384,19.739696312364423,12.816901408450704,5.76,-0.65,-0.16,2.15,0.418,91,"2.448716216",0.444,0.647,"-2.448716216",-0.028,-0.026000000000000023,-0.077,-0.042,21.5,"37.8",11.47462305958948,3.96253188159191,27.101747502285008,0.5907752698724239,39.33116970807555,25.049922457409128
2947,621566,"Olson, Matt",2947,100,0.247,0.21,0.293,0.457,0.339,0.34,0.247,148,600,91.5,16.1,2245,89.7,90.16,385,1465,1481,0.5,6.51,115,146,129,152,303,329,304,"-17.499","17.499","72.3","7.3",679,435,81,37,1,29,170,25,65,9.6,2.23472,0.6436,0.3476,-0.15033,"92.3",176,47.356321839080465,12.413793103448276,7.952871870397643,5.82,-0.85,-0.12,2.48,0.327,54,"0.593790295",0.33,0.448,"-0.593790295",0,-0.0030000000000000027,0.009,-0.001,26.3,"37.8",7.610760708741429,-0.7065478056188093,34.1182871853404,0.4199706314243759,37.55207692018515,32.81547235672687
2896,683002,"Henderson, Gunnar",2896,100,0.281,0.248,0.32,0.529,0.381,0.373,0.283,177,630,92.8,9.2,2225,89.4,89.63,312,1281,1615,0.19999999999998863,6.45,118,147,125,152,298,328,304,"-32.831","32.831","74.7","7.2",716,475,102,31,7,37,159,22.2,75,10.5,2.29492,0.59938,0.41684,-0.19259,"93.1",156,53.89473684210526,11.157894736842106,7.402234636871509,5.73,-0.62,-0.22,2.34,0.362,53,"1.133667127",0.366,0.492,"-1.133667127",-0.002,-0.0040000000000000036,0.037,0.008,24.4,"37.8",7.693293593656808,4.215382980642016,30.487501672984962,0.4547677261613692,35.24805218499256,31.899643372726597
2885,592450,"Judge, Aaron",2885,100,0.322,0.379,0.367,0.701,0.476,0.479,0.31,180,559,96.2,19,2278,89.4,89.61,372,1213,1672,0.19999999999998863,6.51,106,151,124,145,307,332,294,"-97.118","97.118","75.7","8.1",684,390,85,36,1,58,171,25,113,16.5,2.33468,0.56683,0.27492,-0.01048,"94.4",189,61.02564102564103,26.923076923076923,15.350877192982457,5.77,-0.86,0.22,2.34,0.442,105,"3.366308492",0.433,0.723,"-3.366308492",0.012,0.009000000000000008,-0.022,-0.003,30.7,"38.5",13.800691932971914,-3.749367366021474,39.73424309833379,0.49458483754512633,42.607381459176295,29.375944370688355
2875,542303,"Ozuna, Marcell",2875,100,0.302,0.244,0.359,0.546,0.395,0.402,0.286,183,606,92.1,14.5,2264,89.2,89.61,422,1345,1528,0.3999999999999915,6.54,108,151,124,147,309,329,298,"-46.071","46.071","72.3","7.3",686,440,113,31,0,39,170,24.8,72,10.5,2.37174,0.53892,0.29789,0.0463,"92.9",173,53.40909090909091,15.454545454545453,9.912536443148689,5.8,-0.87,0.3,2.26,0.377,68,"1.602469565",0.366,0.572,"-1.602469565",0.016,0.01100000000000001,-0.026,-0.007,31.4,"38.3",14.37823230088156,-1.1476835824100085,36.60243952879777,0.5068493150684932,36.522861042215354,31.57015803178304
2853,670623,"Paredes, Isaac",2853,100,0.238,0.155,0.259,0.393,0.327,0.304,0.22,129,542,85,22.4,2295,88.8,88.94,220,1276,1577,0.10000000000000853,6.42,109,151,122,146,298,325,295,"-14.403","14.403","66.6","7.9",639,443,84,25,1,19,105,16.4,74,11.6,2.40249,0.54057,0.24324,0.06694,"91.3",163,27.088036117381492,4.514672686230249,3.1298904538341157,5.75,-0.97,0.37,2.25,0.344,20,"0.504837014",0.331,0.337,"-0.504837014",0.018,0.012999999999999956,0.056,0.023,17.2,"38.3",13.437746149685308,-15.042044092833924,32.23685302828605,0.5168350168350169,35.443244651650446,37.30353539916743
2852,656941,"Schwarber, Kyle",2852,100,0.248,0.237,0.301,0.485,0.366,0.38,0.256,142,573,93.6,15,2228,88.8,89.1,365,1139,1713,0.29999999999999716,6.45,120,146,127,152,296,326,298,"-30.685","30.685","75.0","7.6",688,384,82,22,0,38,197,28.6,102,14.8,2.35435,0.58473,0.33307,-0.09331,"94.3",157,55.46875,15.625,8.720930232558139,5.84,-0.51,-0.21,2.2,0.362,60,"1.075911641",0.37,0.512,"-1.075911641",-0.008,-0.008000000000000007,-0.027,-0.014,32,"37.9",12.916833243482328,-2.777070464579208,29.19667214511156,0.6632075471698113,36.299549951966135,30.490735431338408
2844,680776,"Duran, Jarren",2844,100,0.285,0.207,0.345,0.492,0.357,0.338,0.271,191,671,90.2,9.1,2265,89.5,89.76,340,1373,1470,0.29999999999999716,6.45,116,146,107,151,282,320,307,"-33.457","33.457","71.8","7.5",734,515,108,48,14,21,160,21.8,53,7.2,2.25743,0.63511,0.35958,-0.15863,"92.2",159,43.883495145631066,9.320388349514563,6.539509536784741,5.72,-0.66,-0.11,2.38,0.341,48,"1.17640647",0.329,0.448,"-1.17640647",0.014,0.01200000000000001,0.044,0.019,24.8,"38.1",3.176289927004613,4.160979120700396,29.19255290286373,0.345266507557677,39.224006780318376,26.621179122239337
2838,660271,"Ohtani, Shohei",2838,100,0.31,0.336,0.336,0.646,0.431,0.442,0.314,197,636,95.7,16,2233,89.4,89.68,400,1343,1495,0.29999999999999716,6.41,117,146,130,152,301,326,307,"-71.234","71.234","74.7","7.7",721,479,98,38,7,54,162,22.5,71,9.8,2.34087,0.54775,0.34484,-0.16328,"94.5",173,60.125260960334025,21.50313152400835,14.285714285714285,5.76,-0.57,-0.13,2.35,0.382,103,"2.510007047",0.388,0.66,"-2.510007047",-0.004,-0.006000000000000005,-0.014,-0.011,29.8,"38.0",10.780335786134772,-0.9335278601853467,34.869115732839454,0.4995983935742972,38.13097246499925,26.275878565555765
2821,650402,"Torres, Gleyber",2821,100,0.257,0.121,0.306,0.378,0.313,0.307,0.24,151,587,88.2,14.8,2273,88.8,89.12,296,1290,1531,0.29999999999999716,6.52,109,151,121,147,303,323,287,"0.192","-0.192","68.4","7.2",665,461,110,26,0,15,136,20.5,65,9.8,2.35294,0.59136,0.26658,-0.01683,"91.1",175,35.35791757049891,6.29067245119306,4.360902255639098,5.75,-0.85,0.25,2.29,0.33,29,"-0.006806097",0.317,0.368,"0.006806097",0.017,0.013000000000000012,0.01,0.006,22.9,"38.6",7.607850111174168,6.306424620601764,34.538327476814594,0.506265664160401,36.37772804299281,29.964197529823537
